"job_category","experience_level","nombre_emplois","salaire_moyen_eur","salaire_max_eur","salaire_min_eur","ecart_type_salaire"
"Autres","SE","30","74404","190000.00","36000","35890"
"Autres","MI","15","45673","90000","16800","18839"
"Autres","EN","32","38025","70824","15600","20307"
"Data Analyst","SE","22","96129","180500.00","45000","37822"
"Data Analyst","MI","6","50500","100000","37000","24436"
"Data Analyst","EN","125","49859","198886","14400","29169"
"Data Engineer","SE","69","73750","237500.00","29000","45530"
"Data Engineer","MI","32","64592","142500.00","44000","24146"
"Data Engineer","EX","5","64200","106000","48000","23711"
"Data Engineer","EN","15","39994","70000","15600","17801"
"Data Scientist","SE","46","108235","321600","26796","71044"
"Data Scientist","MI","24","63015","192660.00","37000","33393"
"Data Scientist","EN","16","51262","104500.00","19000.00","20167"
